IA1	IB1	averageP	sdp	overlap	direction
a celebrity	refdist	0.482268115942029	0.0221338213513734	0.964536231884058	-1
an assassin	refdist	0.189427807486631	0.0165068927034459	0.378855614973262	-1
a terrorist	refdist	0.123254937163375	0.0144053418650618	0.24650987432675	-1
a mother	refdist	0.764908148148148	0.0161928365336577	0.470183703703704	1
an elderly person	refdist	0.603366855524079	0.0187602954474959	0.793266288951841	1
your cousin	refdist	0.661372549019608	0.0165118818939279	0.677254901960784	1
a congressman	refdist	0.446678181818182	0.0215690934227736	0.893356363636364	-1
a pedophile	refdist	0.0875589285714286	0.0119801227698792	0.175117857142857	-1
an addict	refdist	0.361960431654676	0.0206461403564546	0.723920863309352	-1
a judge	refdist	0.52828853046595	0.0218539169510929	0.9434229390681	1
your mother	refdist	0.805456497175141	0.0136967934091707	0.389087005649718	1
a gang member	refdist	0.253390681003584	0.0184696135657989	0.506781362007169	-1
a soldier	refdist	0.687213644524237	0.0193740519893306	0.625572710951526	1
a police officer	refdist	0.597521201413428	0.0201508155513062	0.804957597173145	1
an astronaut	refdist	0.563998214285714	0.0208778771673563	0.872003571428571	1
a thief	refdist	0.22084229390681	0.0175641096625457	0.44168458781362	-1
a rapist	refdist	0.106060390763766	0.0129789531763331	0.212120781527531	-1
a father	refdist	0.732957100591716	0.0173529705476521	0.534085798816568	1
your friend	refdist	0.722718330849478	0.0176481685390722	0.554563338301043	1
a nun	refdist	0.530855098389982	0.0205924304476103	0.938289803220036	1
your sibling	refdist	0.763587666263603	0.0147137038754176	0.472824667472793	1
your grandfather	refdist	0.760394074074074	0.0166979645084826	0.479211851851852	1
a mentor	refdist	0.598089445438283	0.0203811261705218	0.803821109123435	1
an olympian	refdist	0.533030797101449	0.0206514319137668	0.933938405797101	1
a convict	refdist	0.301564373897707	0.0189183257100514	0.603128747795414	-1
an adult	refdist	0.57028813559322	0.0180386709382228	0.859423728813559	1
a teacher	refdist	0.608094814814815	0.0184634455764273	0.78381037037037	1
